"accession"	"organism"	"tissue_type"	"cell_type"	"mol_type"	"dev_stage"	"clone"	"collection_date"	"isolate"	"country"	"db_xref"
"HM774659"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G127"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774660"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G128"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774661"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G129"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774662"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G130"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774663"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G131"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774664"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G133"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774665"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G134"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774666"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G135"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774667"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G136"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774668"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G137"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774669"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G138"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774670"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G139"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774671"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G140"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774672"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G141"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774673"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G142"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774674"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G143"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774675"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G144"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774676"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G145"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774677"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G146"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774678"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G147"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774679"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G148"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774680"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G149"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774681"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G150"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774682"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G151"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774683"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G152"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774684"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G154"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774685"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G155"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774686"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G156"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774687"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G157"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774688"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G158"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774689"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G159"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774690"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G160"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774691"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G161"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774692"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G162"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774693"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G163"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774694"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G164"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774695"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G165"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774696"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G166"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774697"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G167"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774698"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G168"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774699"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G169"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774700"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G170"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774701"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G171"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774702"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G172"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774703"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G201"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774704"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G202"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774705"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G203"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774706"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G205"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774707"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G206"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774708"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G207"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774709"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G208"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774710"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G301"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774711"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G302"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774712"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G303"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774713"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G304"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774714"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G401"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774715"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G402"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774716"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G403"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774717"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G404"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774718"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G405"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774719"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G406"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774720"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G407"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774721"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G408"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774722"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G409"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774723"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P11G410"	"2008"	"P11"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774724"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12E01"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774725"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12E02"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774726"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12E03"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774727"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12E04"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774728"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12E05"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774729"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12E06"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774730"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12E07"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774731"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12E08"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774732"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12E09"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774733"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12E10"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774734"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12E11L"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774735"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12E12L"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774736"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12E13"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774737"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12E14"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774738"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12E15"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774739"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12E16"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774740"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12E17"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774741"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G101"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774742"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G102"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774743"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G103"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774744"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G104"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774745"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G105"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774746"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G106"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774747"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G107"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774748"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G108"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774749"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G109"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774750"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G110"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774751"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G111"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774752"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G112"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774753"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G113"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774754"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G114"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774755"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G115"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774756"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G116"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774757"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G117"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774758"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G118"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774759"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G119"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774760"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G120_6i"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774761"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G121"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774762"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G122"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774763"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G123"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774764"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G124"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774765"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G125"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774766"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G126"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774767"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G127"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774768"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G128"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774769"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G129"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774770"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G130"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774771"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G131"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774772"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G132"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774773"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G133"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774774"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G135"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774775"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G136"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774776"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G137"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774777"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G138"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774778"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G139"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774779"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G140"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774780"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G141"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774781"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G142"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774782"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G143"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774783"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G144"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774784"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G145"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774785"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G146"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774786"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G147"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774787"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G148"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774788"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G149"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774789"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G150"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774790"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G151"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774791"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G152"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774792"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G201"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774793"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G202"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774794"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G203"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774795"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G206"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774796"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G207"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774797"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G208"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774798"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G209"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774799"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G210"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774800"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G211"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774801"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G212"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774802"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G213"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774803"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G214"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774804"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G215"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774805"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G216"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
"HM774806"	"Homo sapiens"	"peripheral blood"	"B lymphocyte"	"mRNA"	"adult"	"P12G217"	"2008"	"P12"	"Papua New Guinea: Masilakaiufa"	"taxon:9606"
