Name	Rearrangement	Support
S84|IGHV3-48*02|IGHD2/OR15-2a*01|IGHJ2*01|40	V3-48*01,J2*01	0.0213785610293116
S84|IGHV3-48*02|IGHD2/OR15-2a*01|IGHJ2*01|40	V3-48*02,J2*01	0.9698549368960477
S17|IGHV3-21*03|IGHD4/OR15-4a*01|IGHJ2*01|40	V3-21*01,J2*01	0.1030067878868116
S17|IGHV3-21*03|IGHD4/OR15-4a*01|IGHJ2*01|40	V3-21*02,J2*01	0.05445432329636002
S17|IGHV3-21*03|IGHD4/OR15-4a*01|IGHJ2*01|40	V3-21*03,J2*01	0.7871739314301301
S17|IGHV3-21*03|IGHD4/OR15-4a*01|IGHJ2*01|40	V3-21*04,J2*01	0.05536495738669794
S76|IGHV6-1*02|IGHD2-2*02|IGHJ2*01|40	V6-1*01,J2*01	0.1377273643076633
S76|IGHV6-1*02|IGHD2-2*02|IGHJ2*01|40	V6-1*02,J2*01	0.8622726356923366
S24|IGHV3/OR16-10*01|IGHD1/OR15-1a*01|IGHJ1*01|40	V3/OR16-10*01,J1*01	0.9572824390356807
S24|IGHV3/OR16-10*01|IGHD1/OR15-1a*01|IGHJ1*01|40	V3/OR16-10*02,J1*01	0.02282464368047346
S24|IGHV3/OR16-10*01|IGHD1/OR15-1a*01|IGHJ1*01|40	V?,J1*01	0.01987262143339091
S58|IGHV1/OR21-1*01|IGHD1-7*01|IGHJ2*01|40	V1/OR21-1*01,J2*01	0.9979125321012994
S26|IGHV3-13*02|IGHD2-21*01|IGHJ5*01|40	V3-13*02,J1*01	0.05529972784697144
S26|IGHV3-13*02|IGHD2-21*01|IGHJ5*01|40	V3-13*02,J4*01	0.0320636678903841
S26|IGHV3-13*02|IGHD2-21*01|IGHJ5*01|40	V3-13*02,J5*01	0.7938631412101792
S26|IGHV3-13*02|IGHD2-21*01|IGHJ5*01|40	V3-13*02,J5*02	0.0781981881217739
S26|IGHV3-13*02|IGHD2-21*01|IGHJ5*01|40	V3-13*02,J?	0.03053765581948377
S6|IGHV3-38*03|IGHD3-22*01|IGHJ1*01|40	V3-38*01,J1*01	0.02276516153461332
S6|IGHV3-38*03|IGHD3-22*01|IGHJ1*01|40	V3-38*02,J1*01	0.02178590750794972
S6|IGHV3-38*03|IGHD3-22*01|IGHJ1*01|40	V3-38*03,J1*01	0.9553756798486123
S3|IGHV3-30-3*01|IGHD4/OR15-4a*01|IGHJ2*01|40	V3-30*01,J2*01	0.07467766665463689
S3|IGHV3-30-3*01|IGHD4/OR15-4a*01|IGHJ2*01|40	V3-30*07,J2*01	0.01637013805614543
S3|IGHV3-30-3*01|IGHD4/OR15-4a*01|IGHJ2*01|40	V3-30*08,J2*01	0.01620532822560525
S3|IGHV3-30-3*01|IGHD4/OR15-4a*01|IGHJ2*01|40	V3-30*10,J2*01	0.01385596741127613
S3|IGHV3-30-3*01|IGHD4/OR15-4a*01|IGHJ2*01|40	V3-30*11,J2*01	0.01656277970053882
S3|IGHV3-30-3*01|IGHD4/OR15-4a*01|IGHJ2*01|40	V3-30*14,J2*01	0.06070303382764941
S3|IGHV3-30-3*01|IGHD4/OR15-4a*01|IGHJ2*01|40	V3-30*16,J2*01	0.2359947000899796
S3|IGHV3-30-3*01|IGHD4/OR15-4a*01|IGHJ2*01|40	V3-30*17,J2*01	0.01585167935454698
S3|IGHV3-30-3*01|IGHD4/OR15-4a*01|IGHJ2*01|40	V3-30,J2*01	0.03947349054200882
S3|IGHV3-30-3*01|IGHD4/OR15-4a*01|IGHJ2*01|40	V3-30-3*01,J2*01	0.2817098157598467
S3|IGHV3-30-3*01|IGHD4/OR15-4a*01|IGHJ2*01|40	V3-30-3*03,J2*01	0.2182805294015355
S11|IGHV1-58*01|IGHD2-15*01|IGHJ3*01|40	V1-58*01,J3*01	0.6002677713384919
